Time,V(I=0.0),V(I=0.3),V(I=0.6)
156.5,-1.1994080352440357,-0.9851510219671832,1.7239646869007015
157.0,-1.1994080352440357,-0.9853662917641903,1.6878900669349053
157.5,-1.1994080352440357,-0.9857331473027933,1.65054317508743
158.0,-1.1994080352440357,-0.9862416528947997,1.612217868640804
158.5,-1.1994080352440357,-0.9868791035168485,1.5730049803207864
159.0,-1.1994080352440357,-0.9876302866477866,1.5328775049370447
159.5,-1.1994080352440357,-0.9884778120780838,1.4917322803861752
160.0,-1.1994080352440357,-0.9894025035709337,1.4494065278377872
160.5,-1.1994080352440357,-0.990383842841515,1.4056791278543457
161.0,-1.1994080352440357,-0.9914004531951464,1.3602610093765868
161.5,-1.1994080352440357,-0.9924306076133843,1.3127752846077159
162.0,-1.1994080352440357,-0.9934527443491814,1.2627246620650792
162.5,-1.1994080352440357,-0.9944459723681439,1.209440092014724
163.0,-1.1994080352440357,-0.9953905493381409,1.1519990971829692
163.5,-1.1994080352440357,-0.9962683163019228,1.0890923550856162
164.0,-1.1994080352440357,-0.997063075539436,1.0187978645738835
164.5,-1.1994080352440357,-0.9977609012218039,0.9381825846477599
165.0,-1.1994080352440357,-0.9983503760008526,0.8425669218920753
165.5,-1.1994080352440357,-0.9988227503649747,0.7241002086669175
166.0,-1.1994080352440357,-0.999172025133607,0.5688794704733664
166.5,-1.1994080352440357,-0.9993949606106463,0.3510202852913295
167.0,-1.1994080352440357,-0.999491018488504,0.02155384963179341
167.5,-1.1994080352440357,-0.9994622444818503,-0.4994691657062592
168.0,-1.1994080352440357,-0.9993131008419992,-1.2276682737942437
168.5,-1.1994080352440357,-0.9990502583947843,-1.7397587698599437
169.0,-1.1994080352440357,-0.9986823576436288,-1.86296641495104
169.5,-1.1994080352440357,-0.9982197479057145,-1.8979096118970453
170.0,-1.1994080352440357,-0.9976742125385253,-1.9020208298704144
170.5,-1.1994080352440357,-0.9970586872022681,-1.89122721341615
171.0,-1.1994080352440357,-0.9963869769145057,-1.8722664530329083
171.5,-1.1994080352440357,-0.9956734764907498,-1.848655307338173
172.0,-1.1994080352440357,-0.9949328979091772,-1.822408395756432
172.5,-1.1994080352440357,-0.9941800072450181,-1.7947065628364536
173.0,-1.1994080352440357,-0.9934293731235109,-1.7662315098721424
173.5,-1.1994080352440357,-0.9926951281523243,-1.7373633623338436
174.0,-1.1994080352440357,-0.991990744510689,-1.7083041135452266
174.5,-1.1994080352440357,-0.9913288247750824,-1.6791537988558831
175.0,-1.1994080352440357,-0.9907209091213437,-1.6499556486452716
175.5,-1.1994080352440357,-0.9901773002234884,-1.6207216406797096
176.0,-1.1994080352440357,-0.9897069074271814,-1.5914463151112015
176.5,-1.1994080352440357,-0.9893171120636958,-1.562113894036194
177.0,-1.1994080352440357,-0.9890136560390618,-1.5327017138547512
177.5,-1.1994080352440357,-0.9888005560339375,-1.5031816570722347
178.0,-1.1994080352440357,-0.9886800457360905,-1.4735204778276696
178.5,-1.1994080352440357,-0.9886525484583948,-1.4436794656563097
179.0,-1.1994080352440357,-0.9887166822388505,-1.4136136429543669
179.5,-1.1994080352440357,-0.9888692990554045,-1.3832705507168437
180.0,-1.1994080352440357,-0.989105559112625,-1.352588588561729
